# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006013-1
# text = Aššur-dan šarru dannu šar kiššati šar māt Aššur nibīt Aššur ša x ultu ulla Aššur šumšu ibbû ša x u agâ ṣīru ušatmehu ša x ana šarrūt x māt Aššur rabîš ukīnušu mār Tukulti-apil-Ešarra šar kiššati šar māt Aššur mār Aššur-reša-iši šar kiššati šar māt Aššurma
1	Aššur-dan	Aššur-dan_II	PROPN	RN	Case=Undefined|Gender=M	0	root	0:root	{m}aš-šur-KAL-an
99	appul	napālu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	ap-pul
100	aqqur	naqāru	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	99	conj	_	aq-qur
101	ina	ina	ADP	PRP	_	102	case	_	i-na
102	išātāti	_	NOUN	_	Case=Undefined|Gender=F|Nounbase=Free|Number=Pl	103	obl	_	_
103	ašrupu	šarāpu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	99	conj	_	aš₂-ru-pu
104	sītāt	_	NOUN	_	Case=Undefined|Gender=F|Nounbase=Bound|Number=Pl	0	root	0:root	_
105-106	ummānātešunu	_	_	_	_	_	_	_	_
105	ummānāte	ummānu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Pl	104	nmod:poss	_	um-ma-na-te-šu-nu
106	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	105	det	_	_
107	ša	ša	PRON	REL	_	112	nsubj	_	ša
108	ištu	ištu	ADP	PRP	_	109	case	_	iš-tu
109	pān	pānu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	112	obl	_	pa-an
110-111	kakkīya	_	_	_	_	_	_	_	_
110	kakkī	kakku	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	109	nmod:poss	_	{GIŠ}TUKUL.MEŠ-ia
111	ya	_	PRON	_	Number=Sg|Person=1	110	det	_	_
112	ipparšidūni	naparšudu	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Pl|Person=3|Subordinative=Yes|Tense=Preterit|Verbstem=N	104	acl:relcl	_	ip-par₂-ši-du-u₂-ni
113	ištu	ištu	ADP	PRP	_	114	case	_	iš-tu
114	x	_	PROPN	u	Case=Gen	121	obl	_	x
115	adi	adi	ADP	PRP	_	116	case	_	a-di
116	Halhalauš	Halhalauš	PROPN	SN	Case=Undefined|Gender=Undefined	121	obl	_	{URU}hal-ha-la-uš
117	ša	ša	ADP	DET	_	118	case	_	ša
118	Sa-x-zi	Sa-x-zi	PROPN	GN	Case=Gen	116	nmod	_	{KUR}sa-x-x-x-zi
119-120	arkišunu	_	_	_	_	_	_	_	_
119	arki	warki	ADP	PRP	_	120	dep	120:dep	EGIR-šu-nu
120	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	121	obl	_	_
121	artedi	_	VERB	_	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Perfect|Verbstem=G	0	root	0:root	_
122-123	dīktašunu	_	_	_	_	_	_	_	_
122	dīkta	dīktu	NOUN	N	Case=Acc|Gender=F|Nounbase=Suffixal|Number=Sg	125	obj	_	di-ik-ta-šu-nu
123	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	122	det	_	_
124	maʾatta	mādu	ADJ	AJ	Case=Acc|Gender=F|Number=Sg	122	amod	_	ma-ʾa-at-ta
125	adūk	dâku	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	a-duk
126-127	šallassunu	_	_	_	_	_	_	_	_
126	šallas	šallatu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Sg	130	obj	_	šal-la-su-nu
127	sunu	_	PRON	_	Gender=M|Number=Pl|Person=3	126	det	_	_
128-129	makkūršunu	_	_	_	_	_	_	_	_
128	makkūr	makkūru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Sg	126	conj	_	NIG₂.GA-šu₂-nu
129	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	128	det	_	_
130	ašlul	šalālu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	125	conj	_	aš₂-lul
131-132	sitātešunu	_	_	_	_	_	_	_	_
131	sītāte	šittu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Pl	133	obj	_	si-ta-te-šu-nu
132	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	131	det	_	_
133	assuha	nasāhu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Ventive=Yes|Verbstem=G	0	root	0:root	a-su-ha
134	ina	ina	ADP	PRP	_	135	case	_	i-na
135	x	_	PROPN	u	_	136	obl	_	x
136	x	_	VERB	u	_	133	conj	_	x
137	x	_	X	u	_	_	_	_	x
138	ana	ana	ADP	PRP	_	139	case	_	a-na
139	miṣir	miṣru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	142	obl	_	mi-ṣi-ir
140	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	139	nmod:poss	_	KUR
141	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	140	nmod:poss	_	aš-šur
142-143	amnûšunūti	_	_	_	_	_	_	_	_
142	amnu	manû	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	133	conj	_	am-nu-šu-nu-ti
143	šunūti	_	PRON	_	Gender=M|Number=Pl|Person=3	142	obj	_	_

# sent_id = Q006013-4
# text = ina qibīt Aššur bēliya ana Katmuhi lū allik Šara-x x appul aqqur ina išātāti ašrup Kundibhale šar Katmuhi ina qabal ēkallišu qātī lū ikšussu x siparrī annakī aban šadê šūquru x x.MEŠ-šu šallassu kabitta ana āliya Aššur ubla x-silla dāgil pāni ša ramāniya ina kussî bēlūtīšu ušēšib Kundibhale šar Katmuhi ana māt Aššur ubla ina Arbail lū akūṣ maškašu dūra ša x-naš uhallip
1	ina	ina	ADP	PRP	_	2	case	_	i-na
2	qibīt	qibītu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	9	obl	_	qi₂-bit
3	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	2	nmod:poss	_	aš-šur
4-5	bēliya	_	_	_	_	_	_	_	_
4	bēli	bēlu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	3	appos	_	EN-ia
5	ya	_	PRON	_	Number=Sg|Person=1	4	det	_	_
6	ana	ana	ADP	PRP	_	7	case	_	a-na
7	Katmuhi	Katmuhu	PROPN	GN	Case=Gen|Gender=Undefined	9	obl	_	{KUR}kat-mu-hi
8	lū	lū	PART	MOD	_	9	advmod:emph	_	lu
9	allik	alāku	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	a-lik
10	Šara-x x	Šara-x|_	PROPN	SN|u	_	11	obj	_	{URU}ša-ra-x|x
11	appul	napālu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	ap-pul
12	aqqur	naqāru	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	11	conj	_	aq-qur
13	ina	ina	ADP	PRP	_	14	case	_	i-na
14	išātāti	_	NOUN	_	Case=Undefined|Gender=F|Nounbase=Free|Number=Pl	15	obl	_	_
15	ašrup	šarāpu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	11	conj	_	aš₂-ru-up
16	Kundibhale	Kundibhale	PROPN	RN	Case=Undefined|Gender=M	26	obj	_	{m}ku-un-di-ib-ha-le-e
17	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	16	appos	_	MAN
18	Katmuhi	Katmuhu	PROPN	GN	Case=Gen|Gender=Undefined	17	nmod:poss	_	{KUR}kat-mu-hi
19	ina	ina	ADP	PRP	_	20	case	_	i-na
20	qabal	qablu	NOUN	N	Case=Gen|Gender=M|Nounbase=Bound|Number=Sg	26	obl	_	_
21-22	ēkallišu	_	_	_	_	_	_	_	_
21	ēkalli	ēkallu	NOUN	N	Case=Gen|Gender=F|Nounbase=Suffixal|Number=Sg	20	nmod:poss	_	E₂.GAL-šu
22	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	21	det	_	_
23-24	qātī	_	_	_	_	_	_	_	_
23	qāt	qātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Sg	26	nsubj	_	qa-a-ti
24	ī	_	PRON	_	Number=Sg|Person=1	23	det	_	_
25	lū	lū	PART	MOD	_	26	advmod:emph	_	lu
26-27	ikšussu	_	_	_	_	_	_	_	_
26	ikšus	_	VERB	_	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Sg|Person=3|Tense=Preterit|Verbstem=G	0	root	0:root	_
27	su	_	PRON	_	Gender=M|Number=Sg|Person=3	26	obj	_	_
28	x	_	X	u	_	_	_	_	x
29	siparrī	siparru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Pl	43	obj	_	ZABAR.MEŠ
30	annakī	annaku	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Pl	29	conj	_	AN.NA.MEŠ
31	aban	abnu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	29	conj	_	_
32	šadê	šadû	NOUN	N	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	31	nmod:poss	_	KUR-e
33	šūquru	šūquru	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	31	amod	_	šu-qu-ru
34	x	_	X	u	_	_	_	_	x
35	x.MEŠ-šu	_	X	u	_	_	_	_	x.MEŠ-šu
36-37	šallassu	_	_	_	_	_	_	_	_
36	šallas	šallatu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Sg	29	appos	_	šal-la-su
37	su	_	PRON	_	Gender=M|Number=Sg|Person=3	36	det	_	_
38	kabitta	kabtu	ADJ	AJ	Case=Acc|Gender=F|Number=Sg	36	amod	_	DUGUD-ta
39	ana	ana	ADP	PRP	_	40	case	_	a-na
40-41	āliya	_	_	_	_	_	_	_	_
40	āli	ālu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	43	obl	_	URU-ia
41	ya	_	PRON	_	Number=Sg|Person=1	40	det	_	_
42	Aššur	Aššur	PROPN	SN	Case=Undefined|Gender=M	40	appos	_	aš-šur
43	ubla	wabālu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Ventive=Yes|Verbstem=G	0	root	0:root	ub-la
44	x-silla	x-silla	PROPN	RN	Gender=M	54	obj	_	x-sil-la
45	dāgil	dāgilu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	44	appos	_	da-gil
46	pāni	pānu	NOUN	N	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	45	nmod:poss	_	pa-ni
47	ša	ša	ADP	DET	_	48	case	_	ša
48-49	ramāniya	_	_	_	_	_	_	_	_
48	ramāni	ramānu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	46	nmod	_	ra-ma-ni-ia
49	ya	_	PRON	_	Number=Sg|Person=1	48	det	_	_
50	ina	ina	ADP	PRP	_	51	case	_	i-na
51	kussî	kussû	NOUN	N	Case=Gen|Gender=F|Nounbase=Bound|Number=Sg	54	obl	_	_
52-53	bēlūtīšu	_	_	_	_	_	_	_	_
52	bēlūti	bēlūtu	NOUN	N	Case=Gen|Gender=F|Nounbase=Suffixal|Number=Sg	51	nmod:poss	_	EN-ti-šu
53	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	52	det	_	_
54	ušēšib	wašābu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=S	0	root	0:root	u₂-še-ši-ib
55	Kundibhale	Kundibhale	PROPN	RN	Case=Undefined|Gender=M	61	obj	_	{m}ku-un-di-ib-ha-le-e
56	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	55	appos	_	MAN
57	Katmuhi	Katmuhu	PROPN	GN	Case=Gen|Gender=Undefined	56	nmod:poss	_	{KUR}kat-mu-hi
58	ana	ana	ADP	PRP	_	59	case	_	a-na
59	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	61	obl	_	KUR
60	Aššur	Aššur	PROPN	SN	Case=Undefined|Gender=M	59	nmod:poss	_	aš-šur
61	ubla	wabālu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Ventive=Yes|Verbstem=G	0	root	0:root	ub-la
62	ina	ina	ADP	PRP	_	63	case	_	i-na
63	Arbail	Arbail	PROPN	SN	Case=Undefined|Gender=Undefined	65	obl	_	arba-il₃
64	lū	lū	PART	MOD	_	65	advmod:emph	_	lu
65	akūṣ	kâṣu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	61	conj	_	a-ku-uṣ
66-67	maškašu	_	_	_	_	_	_	_	_
66	mašak	mašku	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Sg	71	obj	_	KUŠ-šu
67	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	66	det	_	_
68	dūra	dūru	NOUN	N	Case=Acc|Gender=M|Nounbase=Free|Number=Sg	71	advmod	_	_
69	ša	ša	ADP	DET	_	70	case	_	ša
70	x-naš	x-naš	PROPN	SN	_	68	nmod	_	{URU}x-x-na-aš₂
71	uhallip	halāpu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=D	61	conj	_	u₂-ha-al-lip

# sent_id = Q006013-5
# text = ina qibīt Aššur bēliya dakût ummānāteya aškun Mat Musraya ša ittiya ikkirūni akšud ālānišunu appul aqqur ina išātāti ašrup šallassunu ana lā mīni ušēṣâ ana āliya Aššur ubla
1	ina	ina	ADP	PRP	_	2	case	_	i-na
2	qibīt	qibītu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	9	obl	_	qi-bit
3	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	2	nmod	_	aš-šur
4-5	bēliya	_	_	_	_	_	_	_	_
4	bēli	bēlu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	3	appos	_	EN-ia
5	ya	_	PRON	_	Number=Sg|Person=1	4	det	_	_
6	dakût	dikûtu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	9	obj	_	da-ku-ut
7-8	ummānāteya	_	_	_	_	_	_	_	_
7	ummānāte	ummānu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Pl	6	nmod:poss	_	um-ma-na-te-ia.MEŠ
8	ya	_	PRON	_	Number=Sg|Person=1	7	det	_	_
9	aškun	šakānu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	aš₂-kun
10	Mat Musraya	_|Musrayu	PROPN	_|EN	Case=Undefined|Gender=Undefined	15	obj	_	_|{KUR}mu-us-ra-a-ia
11	ša	ša	PRON	DET	_	14	nsubj	_	ša
12-13	ittiya	_	_	_	_	_	_	_	_
12	itti	itti	ADP	PRP	_	13	dep	13:dep	it-ti-ia
13	ya	_	PRON	_	Number=Sg|Person=1	14	obl	_	_
14	ikkirūni	nakāru	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Pl|Person=3|Subordinative=Yes|Tense=Preterit|Verbstem=G	10	acl:relcl	_	_
15	akšud	kašādu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	9	conj	_	ak-šud
16-17	ālānišunu	_	_	_	_	_	_	_	_
16	ālāni	ālu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	18	obj	_	URU.MEŠ-šu₂-nu
17	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	16	det	_	_
18	appul	napālu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	ap-pu-ul
19	aqqur	naqāru	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	18	conj	_	aq-qur
20	ina	ina	ADP	PRP	_	21	case	_	i-na
21	išātāti	_	NOUN	_	Case=Undefined|Gender=F|Nounbase=Free|Number=Pl	22	obl	_	_
22	ašrup	šarāpu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	18	conj	_	aš-ru-up
23-24	šallassunu	_	_	_	_	_	_	_	_
23	šallas	šallatu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Sg	27	obj	_	šal-la-su-nu
24	sunu	_	PRON	_	Gender=M|Number=Pl|Person=3	23	det	_	_
25	ana	ana	ADP	PRP	_	26	case	_	a-na
26	lā mīni	lā|mīnu	ADJ	MOD|N	Case=Gen|Gender=M|Number=Sg	27	obl	_	la|mi-ni
27	ušēṣâ	waṣû	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Ventive=Yes|Verbstem=S	0	root	0:root	u₂-še-ṣa-a
28	ana	ana	ADP	PRP	_	29	case	_	a-na
29-30	āliya	_	_	_	_	_	_	_	_
29	āli	ālu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	32	obl	_	URU-ia
30	ya	_	PRON	_	Number=Sg|Person=1	29	det	_	_
31	Aššur	Aššur	PROPN	SN	Case=Undefined|Gender=M	29	appos	_	aš-šur
32	ubla	wabālu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Ventive=Yes|Verbstem=G	27	conj	_	ub-la

# sent_id = Q006013-6
# text = x-e ša Aššur bēliya ša ištu tarṣi x maddattu ana Aššur bēliya iklû ina tukulti Aššur bēliya u urigalli ālik pāniya x ana ramāniya lū amnu x uzna rapašta iqīš x bēlūtiya ša dārâte x x ilāniya bīt Aššur bīt Šamaš x uššē ēkalliya addi
1	x-e	_	NOUN	u	_	0	root	0:root	x-e
2	ša	ša	ADP	DET	_	3	case	_	ša
3	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	1	nmod	_	aš-šur
4-5	bēliya	_	_	_	_	_	_	_	_
4	bēli	bēlu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	3	appos	_	EN-ia
5	ya	_	PRON	_	Number=Sg|Person=1	4	det	_	_
6	ša	ša	PRON	DET	_	15	nsubj	_	ša
7	ištu	ištu	ADP	PRP	_	8	case	_	iš-tu
8	tarṣi	tarṣu	NOUN	N	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	15	obl	_	tar-ṣi
9	x	_	PROPN	u	_	8	nmod:poss	_	x
10	maddattu	maddattu	NOUN	N	Case=Nom|Gender=F|Nounbase=Free|Number=Sg	15	obj	_	ma-da-tu
11	ana	ana	ADP	PRP	_	12	case	_	a-na
12	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	15	obl	_	aš-šur
13-14	bēliya	_	_	_	_	_	_	_	_
13	bēli	bēlu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	12	appos	_	EN-ia
14	ya	_	PRON	_	Number=Sg|Person=1	13	det	_	_
15	iklû	kalû	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Pl|Person=3|Subordinative=Yes|Tense=Preterit|Verbstem=G	1	acl:relcl	_	ik-lu-u₂
16	ina	ina	ADP	PRP	_	17	case	_	i-na
17	tukulti	tukultu	NOUN	N	Case=Gen|Gender=F|Nounbase=Bound|Number=Sg	31	obl	_	{GIŠ}tukul-ti
18	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	17	nmod:poss	_	aš-šur
19-20	bēliya	_	_	_	_	_	_	_	_
19	bēli	bēlu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	18	appos	_	EN-ia
20	ya	_	PRON	_	Number=Sg|Person=1	19	det	_	_
21	u	u	CCONJ	CNJ	_	22	cc	_	u₃
22	urigalli	urigallu	NOUN	N	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	18	conj	_	{d}URI₃.GAL
23	ālik	āliku	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	22	appos	_	a-lik
24-25	pāniya	_	_	_	_	_	_	_	_
24	pāni	pānu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	23	nmod:poss	_	pa-ni-ia
25	ya	_	PRON	_	Number=Sg|Person=1	24	det	_	_
26	x	_	X	u	_	_	_	_	x
27	ana	ana	ADP	PRP	_	28	case	_	a-na
28-29	ramāniya	_	_	_	_	_	_	_	_
28	ramāni	ramānu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	31	obl	_	ra-ma-ni-ia
29	ya	_	PRON	_	Number=Sg|Person=1	28	det	_	_
30	lū	lū	PART	MOD	_	31	advmod:emph	_	lu
31	amnu	manû	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	am-nu
32	x	_	X	u	_	_	_	_	x
33	uzna	uznu	NOUN	N	Case=Acc|Gender=F|Nounbase=Free|Number=Sg	35	obj	_	GEŠTU
34	rapašta	rapšu	ADJ	AJ	Case=Acc|Gender=F|Number=Sg	33	amod	_	DAGAL-ta
35	iqīš	qiāšu	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Sg|Person=3|Tense=Preterit|Verbstem=G	0	root	0:root	NIG₂.BA
36	x	_	X	u	_	_	_	_	x
37-38	bēlūtiya	_	_	_	_	_	_	_	_
37	bēlūti	bēlūtu	NOUN	N	Case=Gen|Gender=F|Nounbase=Suffixal|Number=Sg	0	root	0:root	EN-ti-ia
38	ya	_	PRON	_	Number=Sg|Person=1	37	det	_	_
39	ša	ša	ADP	REL	_	40	case	_	ša
40	dārâte	dārītu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Free|Number=Pl	37	nmod	_	da-ra-a-te
41	x	_	X	u	_	_	_	_	x
42	x	_	X	u	_	_	_	_	x
43-44	ilāniya	_	_	_	_	_	_	_	_
43	ilāni	ilu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	0	root	0:root	DINGIR.MEŠ-ni-ia
44	ya	_	PRON	_	Number=Sg|Person=1	43	det	_	_
45	bīt	bītu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	0	root	0:root	E₂
46	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	45	nmod:poss	_	aš-šur
47	bīt	bītu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	45	conj	_	E₂
48	Šamaš	Šamaš	PROPN	DN	Case=Undefined|Gender=M	47	nmod:poss	_	{d}UTU
49	x	_	X	u	_	_	_	_	x
50	uššē	uššu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Pl	53	obj	_	uš-še
51-52	ēkalliya	_	_	_	_	_	_	_	_
51	ēkalli	ēkallu	NOUN	N	Case=Gen|Gender=F|Nounbase=Suffixal|Number=Sg	50	nmod:poss	_	E₂.GAL-li₃-ia
52	ya	_	PRON	_	Number=Sg|Person=1	51	det	_	_
53	addi	nadû	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	ad-di

# sent_id = Q006013-7
# text = ina qibīt Aššur bēliya ana Kirriuri lū allik Šuhu {URU}x Simerra Lu-x ālāni ša Kirriuri lū akšud šallassunu būšīšunu makkūrīšunu alpīšunu ṣēnīšunu ušēṣâ ana āliya Aššur ubla ilānišunu kī qīšūte ana Aššur bēliya lū aqīš x ša aššâ ana Aššur bēliya lū aqīš
1	ina	ina	ADP	PRP	_	2	case	_	i-na
2	qibīt	qibītu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	9	obl	_	qi₂-bit
3	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	2	nmod:poss	_	aš-šur
4-5	bēliya	_	_	_	_	_	_	_	_
4	bēli	bēlu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	3	appos	_	EN-ia
5	ya	_	PRON	_	Number=Sg|Person=1	4	det	_	_
6	ana	ana	ADP	PRP	_	7	case	_	a-na
7	Kirriuri	Kirriuru	PROPN	GN	Case=Gen|Gender=Undefined	9	obl	_	{KUR}kir₃-ri-u₂-ri
8	lū	lū	PART	MOD	_	9	advmod:emph	_	lu
9	allik	alāku	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	_
10	Šuhu	Šuhu	PROPN	SN	Case=Undefined|Gender=Undefined	18	obj	_	{URU}šu-hu
11	{URU}x	_	PROPN	u	_	10	conj	_	{URU}x
12	Simerra	Simerra	PROPN	SN	Case=Undefined|Gender=Undefined	10	conj	_	{URU}si-me-er-ra
13	Lu-x	Lu-x	PROPN	GN	_	10	conj	_	{KUR}lu-x
14	ālāni	ālu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Pl	10	appos	_	URU.MEŠ-ni
15	ša	ša	ADP	DET	_	16	case	_	ša
16	Kirriuri	Kirriuru	PROPN	GN	Case=Gen|Gender=Undefined	14	nmod	_	{KUR}kir₃-ri-u₂-ri
17	lū	lū	PART	MOD	_	18	advmod:emph	_	lu
18	akšud	kašādu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	ak-šud
19-20	šallassunu	_	_	_	_	_	_	_	_
19	šallas	šallatu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Sg	29	obj	_	šal-la-su-nu
20	sunu	_	PRON	_	Gender=M|Number=Pl|Person=3	19	det	_	_
21-22	būšīšunu	_	_	_	_	_	_	_	_
21	būšī	būšu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	19	conj	_	NIG₂.ŠU.MEŠ-šu-nu
22	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	21	det	_	_
23-24	makkūrīšunu	_	_	_	_	_	_	_	_
23	makkūrī	makkūru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	19	conj	_	NIG₂.GA.MEŠ-šu-nu
24	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	23	det	_	_
25-26	alpīšunu	_	_	_	_	_	_	_	_
25	alpī	alpu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	19	conj	_	GU₄.MEŠ-šu-nu
